timestamp,encoderR,encoderL
32222970,22085.59,28540.81
32233010,22133.56,28576.11
32242954,22169.98,28606.85
32252987,22209.45,28714.59
32262904,22242.33,28751.59
32272928,22279.1,28792.37
32282973,22311.2,28827.68
32292934,22341.69,28870.05
32303000,22373.71,28914.31
32312929,22400.38,28957.46
32322903,22428.68,29074.02
32333016,22450.26,29113.71
32342903,22486.05,29170.2
32352994,22510.47,29211.46
32362938,22538.67,29261.88
32372933,22564.41,29305.84
32382943,22589.02,29425.98
32392900,22615.6,29475.65
32402916,22638.24,29524.82
32412938,22664.14,29574.21
32422919,22686.83,29625.69
32432932,22712.03,29677.18
32442891,22733.88,29799.88
32452897,22754.43,29857.68
32462912,22776.52,29912.76
32472919,22796.64,29967.19
32482935,22815.84,30028.03
32492927,22844.48,30154.86
32502919,22866.09,30217.81
32513001,22883.63,30272.49
32522928,22901.58,30337.51
32532915,22919.47,30395.26
32542935,22934.82,30533.15
32553137,22949.99,30597.7
32562905,22953.61,30667.0
32572913,22952.0,30738.7
32582917,22953.88,30883.72
32592936,22954.5,30955.6
32603034,22956.03,31028.88
32612934,22956.72,31098.6
32622994,22966.04,31237.81
32633068,22960.02,31304.47
32642932,22958.09,31359.43
32652936,22967.86,31420.36
32662891,22960.27,31470.25
32672951,22947.23,31593.56
32683070,22927.38,31633.03
32692906,22905.33,31671.85
32702915,22875.28,31699.57
32712904,22845.12,31720.82
32722909,22803.71,31740.57
32732962,22766.77,31756.05
32742925,22740.26,31764.16
32752912,22720.31,31760.5
32762957,22703.04,31762.25
32772944,22686.3,31759.07
32782969,22674.57,31756.33
32792926,22665.26,31753.7
32802916,22659.22,31750.47
32812904,22657.24,31747.53
32822931,22657.06,31745.93
32832944,22657.06,31745.17
32842969,22657.07,31745.31
32852973,22657.06,31745.37
32862922,22657.05,31745.38
32873071,22657.04,31745.38
32882969,22657.07,31745.42
32892908,22657.04,31745.47
32902981,22657.06,31745.4
32912901,22657.06,31745.39
32922917,22657.06,31745.39
32932909,22657.08,31745.38
32942912,22657.07,31745.47
32952904,22657.08,31745.39
32962903,22657.07,31745.41
32972945,22657.06,31745.46
32982945,22657.06,31745.38
32992967,22657.16,31745.4
33003053,22657.05,31745.39
33012929,22657.07,31745.46
33022942,22657.05,31745.44
33032960,22657.14,31745.43
33042991,22657.07,31745.37
33052912,22657.17,31745.46
33063035,22657.08,31745.36
33073475,22657.07,31745.43
33082909,22657.06,31745.45
33092916,22657.06,31745.46
33102910,22657.06,31745.45
33112995,22657.07,31745.44
33123084,22657.17,31745.45
33132951,22657.09,31745.44
33142911,22657.08,31745.39
33153039,22657.16,31745.39
33162958,22657.16,31745.4
33172936,22657.09,31745.4
33182927,22657.09,31745.39
33192975,22657.07,31745.39
33202921,22657.08,31745.45
33212958,22657.09,31745.46
33222938,22657.16,31745.38
33232907,22657.07,31745.4
33242951,22657.1,31745.38
33252952,22657.16,31745.39
33262891,22657.09,31745.41
33273061,22657.17,31745.42
33282913,22657.09,31745.41
33292953,22657.06,31745.41
33304099,22657.09,31745.44
33312910,22657.07,31745.39
33322893,22657.08,31745.38
33332905,22657.07,31745.38
33342982,22657.11,31745.41
33353647,22657.06,31745.46
33362951,22657.17,31745.48
33372912,22657.09,31745.47
33382978,22657.08,31745.4
33392924,22657.14,31745.45
33402926,22657.09,31745.38
33412917,22657.15,31745.38
33423017,22657.09,31745.39
33432901,22657.18,31745.41
33443054,22657.19,31745.45
33453029,22657.18,31745.47
33462942,22657.08,31745.47
33472947,22657.16,31745.4
33482955,22657.08,31745.45
33492889,22657.15,31745.38
33502998,22657.07,31745.46
33512986,22657.09,31745.39
33522928,22657.09,31745.45
33532926,22657.2,31745.38
33542924,22657.1,31745.4
33552911,22657.2,31745.46
33562953,22657.17,31745.39
33572924,22657.1,31745.44
33583088,22657.07,31745.41
33592914,22657.16,31745.36
33602952,22657.16,31745.47
33612930,22657.07,31745.48
33622934,22657.15,31745.4
33632951,22657.07,31745.46
33642912,22657.18,31745.41
33652956,22657.07,31745.46
33663125,22657.14,31745.38
33682952,22657.16,31745.38
33692926,22657.16,31745.38
33702969,22657.15,31745.39
33712947,22657.14,31745.39
33722952,22657.05,31745.46
33733055,22657.16,31745.46
33742981,22657.17,31745.49
33753040,22657.18,31745.49
33763035,22657.05,31745.48
33772915,22657.16,31745.46
33782915,22657.13,31745.41
33792915,22657.05,31745.46
33802921,22657.14,31745.39
33812914,22657.13,31745.4
33822922,22657.04,31745.4
33832926,22657.07,31745.46
33842932,22657.16,31745.4
33853006,22657.08,31745.38
33862925,22657.08,31745.4
33872909,22657.44,31744.92
33882925,22662.26,31738.79
33892963,22668.93,31732.68
33902895,22676.43,31723.88
33914507,22688.68,31713.56
33922934,22698.6,31705.86
33932936,22713.54,31698.9
33942914,22727.79,31694.42
33952906,22742.97,31692.98
33962934,22757.65,31693.06
33972945,22770.78,31694.91
33983014,22783.72,31698.63
33993056,22795.29,31702.91
34002909,22804.27,31708.28
34012965,22811.85,31714.67
34024202,22815.87,31722.36
34032930,22827.09,31728.0
34042957,22829.13,31731.34
34052969,22830.55,31734.94
34062910,22831.16,31736.54
34072902,22831.32,31736.88
34082927,22831.3,31736.87
34093001,22831.42,31737.98
34102923,22843.32,31738.39
34112906,22855.87,31738.34
34123022,22858.63,31742.86
34133014,22867.43,31751.93
34143088,22889.0,31761.46
34152902,22908.74,31770.56
34163681,22928.4,31791.02
34172909,22948.44,31819.07
34182926,22966.47,31844.86
34193047,22988.16,31953.38
34203079,23010.18,31986.82
34213062,23035.55,32021.96
34223075,23058.86,32054.23
34232935,23084.23,32091.29
